GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi Coverage Project/jacoco-multi,lab,MainR,63,0,6,0,13,0,6,0,3,0
jacoco-multi Coverage Project/jacoco-multi,lab,Rectangle,48,160,6,10,5,35,9,14,3,12
